epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.7445,1.22012,2.86186,1.58275,0.52218,0.49624,0.48432,0.27826,1.35995,2.02239,1.73097,0.000276765,0.000276765,0.000276765
2,121.652,1.27159,2.16213,1.59036,0.63144,0.51844,0.55769,0.32683,1.46775,1.88132,1.80244,0.000543454,0.000543454,0.000543454
3,153.784,1.28763,1.98864,1.58937,0.59373,0.64597,0.57792,0.30787,1.55051,1.8845,1.82363,0.000799147,0.000799147,0.000799147
4,186,1.27949,1.86961,1.5859,0.62481,0.61129,0.63342,0.37001,1.41779,1.66319,1.75231,0.00078352,0.00078352,0.00078352
5,218.102,1.26088,1.73024,1.55637,0.65239,0.75082,0.72435,0.42925,1.43962,1.49133,1.775,0.000767026,0.000767026,0.000767026
6,250.237,1.23157,1.60593,1.54097,0.79296,0.55763,0.66056,0.38069,1.42765,1.70105,1.7967,0.000750533,0.000750533,0.000750533
7,283.739,1.1991,1.50021,1.50979,0.74409,0.73251,0.72723,0.45666,1.33875,1.39508,1.64816,0.00073404,0.00073404,0.00073404
8,316.296,1.18603,1.41209,1.50322,0.58982,0.71034,0.65826,0.37891,1.44744,1.44289,1.84609,0.000717546,0.000717546,0.000717546
9,349.424,1.15539,1.3412,1.47403,0.8137,0.72866,0.82342,0.52222,1.35109,1.13683,1.65254,0.000701053,0.000701053,0.000701053
10,382.386,1.13905,1.29479,1.46274,0.71599,0.75409,0.72416,0.41696,1.48363,1.28403,1.77916,0.000684559,0.000684559,0.000684559
11,415.868,1.11513,1.23779,1.44536,0.84261,0.74809,0.79114,0.48955,1.39051,1.05859,1.66384,0.000668066,0.000668066,0.000668066
12,464.059,1.1035,1.21319,1.42991,0.72905,0.84549,0.81958,0.51284,1.33813,1.11529,1.64318,0.000651573,0.000651573,0.000651573
13,502.53,1.07167,1.148,1.40818,0.74777,0.72853,0.78828,0.48524,1.40926,1.07709,1.679,0.000635079,0.000635079,0.000635079
14,539.159,1.06305,1.13903,1.40321,0.79075,0.76763,0.8,0.4705,1.50313,1.10825,1.75192,0.000618586,0.000618586,0.000618586
15,570.508,1.03981,1.07884,1.38536,0.86562,0.70221,0.80604,0.50386,1.27388,1.02642,1.60373,0.000602092,0.000602092,0.000602092
16,601.828,1.01557,1.04135,1.3663,0.80995,0.77355,0.83623,0.53375,1.30595,0.96751,1.60801,0.000585599,0.000585599,0.000585599
17,633.443,1.01459,1.04079,1.37199,0.78615,0.82244,0.82671,0.53248,1.27528,0.92464,1.62379,0.000569106,0.000569106,0.000569106
18,665.146,0.99347,1.00088,1.35241,0.78707,0.79598,0.82928,0.51941,1.28483,0.98682,1.63253,0.000552612,0.000552612,0.000552612
19,696.76,0.97809,0.96449,1.35018,0.7234,0.81747,0.80729,0.48915,1.36196,1.02592,1.73026,0.000536119,0.000536119,0.000536119
20,728.306,0.96375,0.93681,1.32797,0.78345,0.78775,0.807,0.48002,1.44988,1.00335,1.76597,0.000519625,0.000519625,0.000519625
21,759.641,0.9472,0.92594,1.3285,0.75253,0.82457,0.78674,0.49034,1.39697,1.04366,1.76579,0.000503132,0.000503132,0.000503132
22,791.025,0.93618,0.89225,1.31596,0.76214,0.79335,0.79449,0.49325,1.3551,1.011,1.67856,0.000486639,0.000486639,0.000486639
23,822.5,0.92471,0.87437,1.30202,0.72642,0.82882,0.7456,0.46415,1.44799,1.02587,1.79419,0.000470145,0.000470145,0.000470145
24,855.578,0.90981,0.85474,1.29446,0.74627,0.78251,0.78094,0.46781,1.44685,1.04539,1.77048,0.000453652,0.000453652,0.000453652
